en	sv	ar	de	az	fr	eu	nl	ru	be	it	bg	es	ca	pl	vi	hr	ja	cs	da	pt	uk	eo	fa	et	sr	fi	no	id	gl	ko	ka	hu	el	ro	hi	tr	ms	sk	la	lv	lt	mk	sl	ur	th	ta	cy	af	sq	bn	tl	te	ht	sw	ga	is	gu	kn	yi
Who remembers?	Vem minns?	من يتذكر؟	Wer erinnert sich?	Kim xatırlayır?	Qui se souvient?	Nor gogoratzen?	Wie herinnert zich?	Кто помнит?	Хто памятае?	Chi si ricorda?	Кой си спомня?	¿Quién recuerda?	Qui se'n recorda?	Kto pamięta?	Ai còn nhớ?	Tko se sjeća?	誰が覚えていますか？	Kdo si pamatuje?	Hvem husker?	Quem se lembra?	Хто пам'ятає?	Kiu memoras?	چه کسی به یاد؟	Kes mäletab?	Ко се сећа?	Kuka muistaa?	Hvem husker?	Siapa yang ingat?	Quen se lembra?	누가 기억?	ვინ ახსოვს?	Ki emlékszik?	Ποιος θυμάται;	Cine își aduce aminte?	कौन याद करता है?	Kim hatırlıyor?	Yang masih ingat?	Kto si pamätá?	Qui meminerit?	Kurš atceras?	Kas prisimena?	Кој се сеќава?	Kdo se spominja?	کون یاد رکھتا ہے؟	ใครจำ?	யார் நினைவு?	Pwy sy'n cofio?	Wie onthou?	Kush e mban mend?	কে মনে রাখে?	Sino Naaalala?	ఎవరు గుర్తు?	Ki moun ki sonje?	Nani anakumbuka?	Cé cuimhin?	Hver man?	કોણ યાદ?	ಯಾರು ನೆನಪಿಸಿಕೊಳ್ಳುತ್ತಾರೆ?	ווער געדענקט?
Do you remember me?	Kommer du ihåg mig?	هل تتذكرني؟	Können Sie sich an mich erinnern?	Məni xatırlayırsan?	Vous souvenez-vous de moi?	Gogoratzen al zara nitaz?	Herinner je je mij?	Ты помнишь меня?	Ты памятаеш мяне?	Ti ricordi di me?	Помниш ли ме?	¿Me recuerdas?	Em recorda?	Czy pamiętasz mnie?	Bạn có nhớ tôi không?	Sjećaš li me se?	私を覚えていますか？	Pamatuješ si mě?	Husker du mig?	Você se lembra de mim?	Ти пам'ятаєш мене?	Ĉu vi memoras min?	شما من را به یاد دارید؟	Kas sa mäletad mind?	Да ли ме се сећаш?	Muistatko minut?	Husker du meg?	Apakah kamu ingat saya?	Lémbrasme?	당신은 저를 기억하십니까?	Გახსოვარ?	Emlékszel rám?	Με θυμάσαι?	Îți amintești de mine?	क्या मैं आपको याद हूँ?	Beni hatırlıyor musun?	Adakah awak ingat saya?	Pamätas si ma?	Meministine me	Vai tu mani atceries?	Ar prisimeni mane?	Дали се сеќаваш на мене?	Se me spomniš?	کیا آپ کو میں یادہوں؟	คุณจำฉันได้ไหม?	உங்களுக்கு என்னை நினைவிருக்கிறதா?	Ydych chi'n cofio i mi?	Onthou jy my?	A ju kujtohet mua?	তুমি কী আমাকে চিনতে পারছ?	Naaalala mo pa ba ako?	మీరు నాకు గుర్తు లేదా?	Ou sonje'm?	Unanikumbuka?	Ar cuimhne tú liomsa?	Manstu eftir mér?	તમે મને યાદ કરો છો?	ನೀವು ನನಗೆ ನೆನಪಿದೆಯೇ?	געדענקסט מיך?
Do you remember Tom?	Minns du Tom?	هل تذكر توم؟	Haben Sie Tom erinnern?	Siz Tom yadınızdadırmı?	rappelez-vous Tom?	Ez Tom gogoratzen duzu?	Heeft u Tom herinneren?	Вы помните, Том?	Вы памятаеце, Том?	Ti ricordi di Tom?	Спомняте ли си Том?	¿Recuerdas Tom?	Recordes Tom?	Pamiętacie Toma?	Bạn có nhớ Tom?	Sjećate li Tome?	あなたはトムを覚えていますか？	Vzpomínáte si Tome?	Kan du huske Tom?	Você se lembra de Tom?	Ви пам'ятаєте, Том?	Ĉu vi memoras Tom?	آیا شما به یاد داشته باشید تام؟	Kas sa mäletad Tom?	Да ли се сећате Том?	Muistatko Tom?	Husker du Tom?	Apakah Anda ingat Tom?	Vostede recorda de Tom?	당신은 톰을 기억하십니까?	გახსოვთ, ტომ?	Emlékszel Tom?	Θυμάστε τον Tom;	Îți amintești de Tom?	आप टॉम याद है?	Tom'u hatırlıyor musunuz?	Adakah anda masih ingat Tom?	Spomínate si Tom?	Tom Non meministi?	Vai atceraties Tom?	Ar pamenate Tomas?	Дали се сеќавате на Том?	Se spomniš, Tom?	آپ ٹام یاد ہے؟	คุณจำทอม?	நீங்கள் டாம் நினைவிருக்கிறதா?	Ydych chi'n cofio Tom?	Het jy Tom onthou?	A ju kujtohet Tom?	আপনি টম মনে আছে?	Naalala mo ba Tom?	మీరు టామ్ గుర్తు లేదా?	ou sonje Tom?	Unakumbuka Tom?	An bhfuil tú cuimhin Tom?	Manstu Tom?	તમે ટોમ યાદ કરો છો?	ನೀವು ಟಾಮ್ ನೆನಪಿದೆಯೇ?	צי איר געדענקען טאָם?
Oh, yes, I remember.	Ja, jag kommer ihåg.	أوه، نعم، أتذكر.	Oh, ja, ich erinnere mich.	Oh, bəli, mən xatırlayıram.	Oh, oui, je me souviens.	Oh, bai, gogoratzen dut.	Oh, ja, ik herinner me.	О, да, я помню.	О, так, я памятаю.	Ah, sì, ricordo.	О, да, спомням си.	Oh, sí, lo recuerdo.	Oh, sí, ho recordo.	Och, tak, pamiętam.	Ồ, vâng, tôi nhớ.	O, da, sjećam se.	ああ、はい、私は覚えています。	Ano, vzpomínám si.	Åh, ja, jeg kan huske.	Oh, sim, eu me lembro.	О, так, я пам'ятаю.	Ho, jes, mi memoras.	آه، بله، من به یاد داشته باشید.	Oh, jah, ma mäletan.	Ох, да, сећам се.	Kyllä, muistan.	Å, ja, jeg husker.	Oh, ya, saya ingat.	Oh, si, eu recordo.	아, 그래, 나는 기억한다.	ოჰ, დიახ, მახსოვს.	Ó, igen, emlékszem.	Ω, ναι, θυμάμαι.	Oh, da, îmi amintesc.	ओह, हाँ, मुझे याद है।	Evet, hatırlıyorum.	Oh, ya, saya ingat.	Áno, spomínam si.	O ita, ut memini.	Ak, jā, es atceros.	O, taip, prisimenu.	О, да, се сеќавам.	Oh, ja, se spomnim.	اوہ، جی ہاں، مجھے یاد ہے.	โอ้ใช่ผมจำได้ว่า	ஓ, ஆமாம், எனக்கு ஞாபகம்.	O, ie, yr wyf yn cofio.	O ja, ek onthou.	Oh, po, më kujtohet.	ওহ, হ্যাঁ, আমার মনে আছে।	Oh, yes, natatandaan ko.	ఓహ్, అవును, నేను గుర్తుంచుకోవాలి.	Oh, repons lan se wi, mwen sonje.	Oh, ndiyo, mimi kukumbuka.	Oh, yes, cuimhin liom.	Ó, já, ég man.	ઓહ, હા, હું યાદ કરે છે.	ಓಹ್, ಹೌದು, ನಾನು ಮರೆಯದಿರಿ.	אָה, יאָ, איך געדענקען.
I don't remember.	Jag minns inte.	أنا لا أتذكر.	Ich erinnere mich nicht.	Yadımda deyil.	Je ne me souviens pas.	Ez dut gogoratzen.	Ik weet het niet meer.	Я не помню.	Я не памятаю.	Non mi ricordo.	Не си спомням.	No recuerdo.	No recordo.	Nie pamiętam.	Tôi không nhớ.	Ne sjećam se.	私は覚えていません。	Nevzpomínám si.	Jeg kan ikke huske.	Eu não me lembro.	Я не пам'ятаю.	Mi ne memoras.	من به خاطر نمی.	Ma ei mäleta.	Не сећам се.	En muista.	Jeg husker ikke.	Saya tidak ingat.	Eu non me lembro.	나는 기억하지 않는다.	მე არ მახსოვს.	Nem emlékszem.	Δεν θυμάμαι.	Nu-mi amintesc.	मुझे याद नहीं।	Ben hatırlamıyorum.	Saya tidak ingat.	Nespomínam si.	Non memini.	Es neatceros.	Nepamenu.	Јас не се сеќавам.	Ne spomnim se.	مجھے یاد نہیں ہے.	ผมจำไม่ได้	எனக்கு ஞாபகம் இல்லை.	Dydw i ddim yn cofio.	Ek kan nie onthou.	Unë nuk e mbani mend.	আমি মনে নেই।	Hindi ko matandaan.	నేను గుర్తు లేదు.	Mwen pa sonje.	Sikumbuki.	Ní féidir liom cuimhneamh orthu.	Ég man það ekki.	મને યાદ નથી.	ನಾನು ನೆನಪಿರುವುದಿಲ್ಲ.	איך טאָן ניט געדענקען.
I remember everything.	Jag minns allt.	أتذكر كل شيء.	Ich erinnere mich an alles.	Mən hər şeyi xatırlayıram.	Je me souviens de tout.	dena gogoratzen dut.	Ik herinner me alles.	Я все помню.	Я ўсё памятаю.	Io ricordo ogni cosa.	Спомням си всичко.	Lo recuerdo todo.	El recordo tot.	Pamiętam wszystko.	Tôi nhớ tất cả mọi thứ.	Sjećam se svega.	私はすべてを覚えています。	Vše si pamatuji.	Jeg husker alt.	Lembro-me de tudo.	Я все пам'ятаю.	Mi memoras ĉion.	من همه چیز را به یاد می آورم.	Ma mäletan kõike.	Свега се сећам.	Muistan kaiken.	Jeg husker alt.	Saya ingat semuanya.	Lembro de todo.	나는 모든 것을 기억한다.	მახსოვს ყველაფერი.	Mindenre emlékszem.	Θυμάμαι τα πάντα.	Imi aduc aminte totul.	मुझे सबकुछ याद है।	Herşeyi hatırlıyorum.	Saya ingat semua.	Spomínam si na všetko.	Quae non memini.	Es atceros visu.	Prisimenu viską.	Се сеќавам на сè.	Spomnim se vsega.	مجھے سب یاد ہے.	ฉันจำได้ทุกอย่าง.	நான் எல்லாவற்றையும் நினைவில்.	Yr wyf yn cofio popeth.	Ek onthou alles.	Mbaj mend gjithçka.	আমার সবকিছু মনে আছে.	naalala ko ang lahat.	నేను ప్రతిదీ గుర్తుంచుకోవాలి.	Mwen sonje tout bagay.	Nakumbuka kila kitu.	Is cuimhin liom gach rud.	Ég man allt.	હું બધું યાદ કરે છે.	ನಾನು ಎಲ್ಲವನ್ನೂ ನೆನಪಿರುವುದಿಲ್ಲ.	איך געדענקען אַלץ.
Do you remember this game?	Minns du det här spelet?	هل تذكر هذه اللعبة؟	Haben Sie dieses Spiel erinnern?	Bu oyun yadınızdadırmı?	Vous souvenez-vous de ce jeu?	Ez Joko hau gogoratzen duzu?	Heb je dit spel nog?	Вы помните эту игру?	Вы памятаеце гэтую гульню?	Ti ricordi di questo gioco?	Помните ли тази игра?	¿Recuerdas este juego?	Recordes aquest joc?	Pamiętacie tę grę?	Bạn có nhớ trò chơi này?	Sjećate li se ove igre?	あなたはこのゲームを覚えていますか？	Vzpomínáte si na tuto hru?	Kan du huske dette spil?	Você se lembra deste jogo?	Ви пам'ятаєте цю гру?	Ĉu vi memoras tiun ludon?	آیا شما به یاد داشته باشید این بازی؟	Kas sa mäletad seda mängu?	Да ли се сећате ову игру?	Muistatko tämän pelin?	Husker du dette spillet?	Apakah Anda ingat game ini?	Vostede recorda deste xogo?	당신은이 게임을 기억하십니까?	გახსოვთ ეს თამაში?	Emlékszel ez a játék?	Θυμάστε αυτό το παιχνίδι;	Îți amintești acest joc?	आप इस खेल को याद है?	Bu oyunu hatırlıyor musunuz?	Adakah anda masih ingat permainan ini?	Spomínate si na túto hru?	Meministi hoc?	Vai tu atceries šo spēli?	Ar pamenate šį žaidimą?	Дали се сеќавате на оваа игра?	Se spomnite te igre?	آپ کو اس کھیل کو یاد ہے؟	คุณจำเกมนี้หรือไม่	நீங்கள் இந்த விளையாட்டில் நினைவிருக்கிறதா?	Ydych chi'n cofio y gêm?	Het jy hierdie spel onthou?	A ju kujtohet këtë lojë?	আপনি এই গেমটি মনে আছে?	Natatandaan mo ba ang larong ito?	మీరు ఈ ఆట గుర్తు లేదా?	ou sonje jwèt sa a?	Unakumbuka mchezo huu?	An bhfuil tú cuimhin an cluiche?	Manstu þennan leik?	તમે આ રમત યાદ કરો છો?	ನೀವು ಈ ಆಟವನ್ನು ನೆನಪಿದೆಯೇ?	צי איר געדענקען דעם שפּיל?
I remember many things.	Jag minns många saker.	أتذكر أشياء كثيرة.	Ich erinnere mich an viele Dinge.	Mən çox şeyi xatırlayıram.	Je me souviens bien des choses.	Gauza asko gogoratzen dut.	Ik herinner me veel dingen.	Я помню многое.	Я памятаю многае.	Mi ricordo molte cose.	Спомням си много неща.	Recuerdo muchas cosas.	Recordo moltes coses.	Pamiętam wiele rzeczy.	Tôi nhớ nhiều thứ.	Sjećam se mnoge stvari.	私は多くのことを覚えておいてください。	Vzpomínám si na mnoho věcí.	Jeg husker mange ting.	Lembro-me de muitas coisas.	Я пам'ятаю багато.	Mi memoras multajn aferojn.	من خیلی چیزها یاد داشته باشید.	Ma mäletan, kuidas paljud asjad.	Сећам се многих ствари.	Muistan monia asioita.	Jeg husker mange ting.	Aku ingat banyak hal.	Lembro moitas cousas.	나는 많은 것을 기억한다.	მახსოვს ბევრი რამ.	Emlékszem sok mindent.	Θυμάμαι πολλά πράγματα.	Îmi amintesc multe lucruri.	मैं बहुत सी बातें याद है।	Ben birçok şeyi hatırlamıyorum.	Saya masih ingat banyak perkara.	Spomínam si na veľa vecí.	Multa memini me.	Es atceros daudzas lietas.	Prisimenu daug dalykų.	Се сеќавам многу работи.	Spomnim se veliko stvari.	میں نے بہت سی باتیں یاد ہے.	ผมจำได้ว่าหลายสิ่งหลายอย่าง	நான் பல விஷயங்களை நினைவில்.	Yr wyf yn cofio llawer o bethau.	Ek onthou baie dinge.	Mbaj mend shumë gjëra.	আমি অনেক কিছু মনে রাখবেন।	Naaalala ko ang maraming bagay.	నేను అనేక విషయాలు గుర్తుంచుకోవాలి.	Mwen sonje anpil bagay.	Nakumbuka mambo mengi.	Is cuimhin liom go leor rudaí.	Ég man margt.	હું ઘણી વસ્તુઓ યાદ કરે છે.	ನಾನು ಅನೇಕ ವಿಷಯಗಳನ್ನು ಮರೆಯದಿರಿ.	איך געדענקען פילע זאכן.
I don't remember exactly.	Jag minns inte exakt.	أنا لا أتذكر بالضبط.	Ich erinnere mich nicht genau.	Mən dəqiq xatırlamıram.	Je ne me souviens pas exactement.	Ez dut gogoratzen zehazki.	Ik weet niet meer precies.	Я не помню точно.	Я не памятаю дакладна.	Non mi ricordo esattamente.	Не си спомням точно.	No recuerdo exactamente.	No recordo exactament.	Nie pamiętam dokładnie.	Tôi không nhớ chính xác.	Ne sjećam se točno.	私は正確に覚えていません。	Nevzpomínám si přesně.	Jeg kan ikke huske præcis.	Eu não me lembro exatamente.	Я не пам'ятаю точно.	Mi ne memoras precize.	من را به خاطر نه دقیقا.	Ma ei mäleta täpselt.	Не сећам се тачно.	En muista tarkalleen.	Jeg husker ikke nøyaktig.	Saya tidak ingat persis.	Eu non me lembro exactamente.	내가 정확히 기억하지 않습니다.	მე არ მახსოვს ზუსტად.	Nem emlékszem pontosan.	Δεν θυμάμαι ακριβώς.	Nu-mi amintesc exact.	मैं बिल्कुल याद नहीं है।	Tam olarak hatırlamıyorum.	Saya tidak ingat betul-betul.	Nespomínam si presne.	Prorsus non memini.	Es neatceros precīzi.	Nepamenu tiksliai.	Јас не се сеќавам точно.	Ne spomnim se točno.	مجھے ٹھیک سے یاد نہیں.	ผมจำไม่ได้ว่า	நான் சரியாக நினைவில் இல்லை.	Nid wyf yn cofio yn union.	Ek weet nie presies onthou.	Nuk më kujtohet saktësisht.	আমি ঠিক মনে নেই।	Hindi ko matandaan eksakto.	నేను సరిగ్గా గుర్తు లేదు.	Mwen pa sonje egzakteman.	Sikumbuki hasa.	Ní féidir liom cuimhneamh go díreach.	Ég man ekki nákvæmlega.	હું બરાબર યાદ નથી.	ನಾನು ನಿಖರವಾಗಿ ನೆನಪಿರುವುದಿಲ್ಲ.	איך טאָן ניט געדענקען פּונקט.
Remember, you promised.	Kom ihåg att du lovade.	وتذكر أنك وعدت.	Denken Sie daran, dir versprochen.	Unutmayın, söz verib.	Rappelez-vous, vous avez promis.	Gogoratu, agindu duzu.	Vergeet niet, je hebt het beloofd.	Помните, что вы обещали.	Памятаеце, што вы абяцалі.	Ricordate, hai promesso.	Не забравяйте, че ви обещах.	Recuerde, que prometió.	Recordeu, que va prometre.	Pamiętaj, że obiecałeś.	Hãy nhớ rằng, bạn đã hứa.	Sjeti se, ti obećao.	覚えておいてください、あなたが約束しました。	Nezapomeňte, že jste slíbil.	Husk, du lovede.	Lembre-se, você prometeu.	Пам'ятайте, що ви обіцяли.	Memoru, vi promesis.	به یاد داشته باشید، شما گفته است.	Pea meeles, et sa lubasid.	Запамтите, обећао си.	Muista, sinä lupasit.	Husk, lovet deg.	Ingat, Anda berjanji.	Lembre, vostede prometeu.	기억, 당신은 약속했다.	გახსოვდეთ, თქვენ დაჰპირდა.	Emlékezz, megígérted.	Να θυμάστε, σας υποσχέθηκα.	Amintiți-vă, ai promis.	याद रखें, आप का वादा किया।	Unutmayın, söz vermiştin.	Ingat, anda dijanjikan.	Nezabudnite, že ste sľúbil.	Memento, tu, quod promisti.	Atcerieties, ka jūs solīts.	Atminkite, kad jums pažadėjo.	Запомнете, вие вети.	Ne pozabite, si obljubil.	یاد رکھیں، آپ کا وعدہ کیا.	โปรดจำไว้ว่าคุณสัญญา	நினைவில், நீங்கள் உறுதியளித்தார்.	Cofiwch, rydych yn addo.	Onthou, belowe jou.	Mbani mend, ju premtuar.	মনে রাখবেন, আপনি প্রতিশ্রুত।	Tandaan, nangako sa iyo.	గుర్తుంచుకో, మీరు హామీ ఇచ్చారు.	Sonje byen, ou te pwomèt la.	Kumbuka, aliahidi.	Cuimhnigh, gheall tú.	Mundu, þú lofaðir.	યાદ રાખો, તમે વચન આપ્યું હતું.	ನೆನಪಿಡಿ, ನೀವು ಭರವಸೆ.	געדענקען, איר צוגעזאגט.
I don't remember your name.	Jag minns inte ditt namn.	أنا لا تذكر اسمك.	Ich erinnere mich nicht, Ihren Namen.	Mən sizin adını xatırlamıram.	Je ne me rappelle pas votre nom.	Ez dut gogoratzen zure izena.	Ik herinner me niet uw naam.	Я не помню свое имя.	Я не памятаю сваё імя.	Non mi ricordo il tuo nome.	Не си спомням името си.	No recuerdo su nombre.	No recordo el seu nom.	Nie pamiętam nazwy.	Tôi không nhớ tên của bạn.	Ne sjećam se svoje ime.	私はあなたの名前を覚えていません。	Nepamatuji si své jméno.	Jeg kan ikke huske dit navn.	Eu não me lembro seu nome.	Я не пам'ятаю своє ім'я.	Mi ne memoras vian nomon.	من نام خود را یاد داشته باشید.	Ma ei mäleta oma nime.	Не сећам се своје име.	En muista nimeä.	Jeg husker ikke navnet ditt.	Saya tidak ingat nama Anda.	Non me lembro o seu nome.	나는 당신의 이름을 기억하지 않습니다.	მე არ მახსოვს, თქვენი სახელი.	Nem emlékszem a nevére.	Δεν θυμάμαι το όνομά σας.	Nu-mi amintesc numele tău.	मैं आपके नाम याद नहीं है।	Adını hatırlamıyorum.	Saya tidak ingat nama anda.	Nepamätám si svoje meno.	Non recordabor nominis tui.	Es neatceros savu vārdu.	Nepamenu savo vardą.	Јас не се сеќавам вашето име.	Ne spomnim se vašega imena.	میں نے آپ کا نام یاد نہیں.	ผมจำไม่ได้ชื่อของคุณ	நான் உங்கள் பெயர் ஞாபகம் இல்லை.	Nid wyf yn cofio dy enw.	Ek kan nie onthou jou naam.	Unë nuk e mbaj mend emrin.	আমি তোমার নাম মনে নেই।	Hindi ko matandaan ang pangalan mo.	నేను మీ పేరు గుర్తు లేదు.	Mwen pa sonje non ou.	Sikumbuki jina lako.	Ní cuimhin liom d'ainm.	Ég man ekki nafnið þitt.	હું તમારી નામ યાદ નથી.	ನಾನು ನಿಮ್ಮ ಹೆಸರು ನೆನಪಿರುವುದಿಲ್ಲ.	איך טאָן ניט געדענקען דיין נאָמען.
Do you remember your grandfather?	Kommer du ihåg din farfar?	هل تذكر جدك؟	Erinnern Sie sich Ihr Großvater?	Siz babası yadınızdadırmı?	Vous souvenez-vous de votre grand-père?	Zure aitona gogoratzen duzu?	Herinnert u zich uw grootvader?	Помните ли вы ваш дед?	Ці памятаеце вы ваш дзед?	Ti ricordi il tuo nonno?	Спомняте ли си дядо ти?	¿Recuerdas tu abuelo?	Recordes el teu avi?	Czy pamiętasz swojego dziadka?	Bạn có nhớ ông nội của bạn?	Sjećaš li se djeda?	あなたの祖父を覚えていますか？	Vzpomínáte si na tvůj dědeček?	Kan du huske din bedstefar?	Você se lembra de seu avô?	Чи пам'ятаєте ви ваш дід?	Ĉu vi memoras vian avon?	هنوز پدر بزرگ خود را به یاد دارید؟	Kas sa mäletad oma vanaisa?	Да ли се сећате свог деду?	Muistatko isoisä?	Husker du din bestefar?	Apakah Anda ingat kakekmu?	Vostede recorda do seu avó?	당신은 당신의 할아버지를 기억하십니까?	გახსოვთ თქვენი ბაბუა?	Emlékszel a nagyapja?	Θυμάστε τον παππού σου;	Îți amintești bunicul tău?	आप अपने दादा याद है?	Eğer Büyükbabanı hatırlıyor musunuz?	Adakah anda masih ingat datuk anda?	Spomínate si na tvoj dedko?	Meministi avus?	Vai atceraties savu vectēvu?	Ar pamenate savo senelį?	Дали се сеќавате на вашиот дедо?	Se spomnite svojega dedka?	آپ کو آپ کے دادا کو یاد ہے؟	คุณจำคุณปู่ของคุณ?	நீங்கள் உங்கள் தாத்தா நினைவிருக்கிறதா?	Ydych chi'n cofio eich taid?	Onthou jy jou oupa?	A ju kujtohet gjyshi juaj?	আপনি আপনার পিতামহ মনে আছে?	Natatandaan mo ba ang iyong lolo?	మీరు మీ తాత గుర్తు లేదా?	ou sonje granpapa ou la?	Unakumbuka babu yako?	An bhfuil tú ag cuimhneamh do sheanathair?	Manstu afi þinn?	તમે તમારા દાદા યાદ કરો છો?	ನಿಮ್ಮ ಅಜ್ಜ ನೆನಪಿದೆಯೇ?	צי איר געדענקען דיין זיידע?
that sounds good	det låter bra	هذا يبدو جيدا	das klingt gut	ki, səslər yaxşı	ça sonne bien	Hori soinuak ona	dat klinkt goed	Это звучит неплохо	гэта гучыць нядрэнна	suona bene	звучи добре	Eso suena bien	això sona bé	to brzmi dobrze	mà âm thanh tốt	Zvuči dobro	いいですね	to zní dobře	det lyder godt	isso soa bem	це звучить непогано	tio sonas bone	به نظر خوب می آید	see kõlab hästi	то звучи добро	se kuulostaa hyvältä	det høres bra ut	Boleh juga	iso soa ben	그 좋은 소리	კარგად ჟღერს	ez jól hangzik	αυτό ακούγεται καλό	asta suna bine	वह अच्छा प्रतीत होता है	Kulağa hoş geliyor	bahawa bunyi yang baik	to znie dobre	quod sonat bonum	tas izklausās labi	kad skamba gerai	тоа звучи добро	to zveni dobro	کہ آواز اچھی	นั่นฟังดูดี	அது கேட்க நன்றாக இருக்கிறது	bod seiniau da	dit klink goed	duket mirë	যে শব্দ ভাল	mukhang maganda	శబ్దాల మంచి	ki son bon	kwamba sauti nzuri	go fuaimeanna maith	það hljómar vel	તે સારું છે	ಶಬ್ದಗಳ ಉತ್ತಮ	אַז סאָונדס גוט
That sounds great	Det låter bra	أن الأصوات عظيم	Das klingt gut	Bu səslər böyük	Ce grand sons	soinuak handia That	Dat klinkt goed	Это звучит здорово	Гэта гучыць выдатна	Suona bene	Това звучи страхотно	Eso suena genial	Això sóna genial	To brzmi świetnie	Nghe có vẻ tuyệt vời	To zvuči odlično	それはいいです	To zní skvěle	Det lyder godt	Isso parece ótimo	Звучить чудово	Tio sonoj granda	به نظر عالی میاد	See kõlab hästi	То звучи сјајно	Kuulostaa hyvältä	Det høres bra ut	Itu suara besar	Iso soa ben	그거 좋을 거 같아	Კარგად ჟღერს	Ez jól hangzik	Ακούγεται υπέροχο	Suna foarte bine	वह बहुत अच्छा लगता है	Bu sesler harika	Yang bunyi yang hebat	To znie skvele	Quod sonat magnus,	Tas izklausās lieliski	Tai skamba puikiai	Тоа звучи одлично	Sliši se odlično	یہ آواز بہت اچھا	เป็นความคิดที่ดี	அந்த ஒலிகள் பெரிய	Mae hynny'n swnio'n gret	Dit klink goed	Kjo duket e madhe	ভালই শোনা যাচ্ছে	Iyon tunog mahusay	ఆ శబ్దాలు గొప్ప	Sa son gwo	Hii ni nzuri	Go fuaimeanna iontach	Það hljómar vel	તે સામ્ભલવામા સારુ લાગે છે	ಅದು ಮಹಾನ್ ಎನಿಸುತ್ತದೆ	דאס הערט זיך געוואלדיג
That sounds like fun	Det låter kul	هذا يبدو ممتع	Das klingt nach Spaß	əyləncə kimi That səslər	Cela semble amusant	fun bezalako soinuak That	Dat klinkt leuk	Это звучит забавно	Гэта гучыць, як весела	Sembra divertente	Това звучи забавно	Eso suena divertido	Això sona divertit	To brzmi jak zabawa	Nghe có vẻ như thú vị	To zvuči zabavno	それは楽しそうだ	To zní jako zábava	Det lyder sjovt	Isso parece divertido	Це звучить, як весело	Tio sonas kiel amuzo	به نظر می رسد سرگرم کننده	See kõlab lõbus	То звучи забавно	Kuulostaa hauskalta	Det høres gøy ut	Itu terdengar menyenangkan	Isto parece divertido	재미 같은 그 소리	რომ ჟღერს fun	Ez jól hangzik	Ακούγεται διασκεδαστικό	Sună distractiv	वह मज़ेदार लग रहा है	Kulağa eğlenceli geliyor	Bahawa bunyi seperti menyeronokkan	To znie zábavne	Quia sicut sonitus amet	Tas izklausās jautri	Skamba smagiai	Звучи забавно	To se sliši zabavno	مذاق کی طرح یہ آواز	เสียงที่เหมือนสนุก	வேடிக்கை போன்ற அந்த ஒலிகள்	Mae hynny'n swnio fel hwyl	Dit klink soos pret	Kjo tingëllon si argëtim	মজা চাই যে শব্দসমূহ	Na tunog tulad ng masaya	సరదాగా వంటి శబ్దాల	Sa son tankou plezi	Hiyo sauti kama furaha	Go fuaimeanna cosúil le spraoi	Það hljómar skemmtilega	મજા ગમે છે અવાજ	ಮೋಜಿನ ರೀತಿಯ ಧ್ವನಿಗಳನ್ನು	אַז סאָונדס ווי שפּאַס
