,sv,ar,de,az,fr,eu,nl,ru,be,it,bg,es,ca,pl,vi,hr,ja,cs,da,pt,uk,eo,fa,et,sr,fi,no,id,gl,ko,ka,hu,el,ro,hi,tr,ms,sk,la,lv,lt,mk,sl,ur,th,ta,cy,af,sq,bn,tl,te,ht,sw,ga,is,gu,kn,yi
"Sorry, I didn't hear clearly.","Tyvärr, jag hörde inte klart.",عذرا، لم أسمع بوضوح.,"Sorry, ich habe nicht deutlich hören.","Bağışlayın, mən aydın eşitmək etməyib.","Désolé, je ne l'ai pas entendu clairement.","Sentitzen dut, ez nuen entzun argi eta garbi.","Sorry, ik heb niet duidelijk horen.","К сожалению, я не слышал ясно.","На жаль, я не чуў ясна.","Spiacente, non ho sentito chiaramente.","За съжаление, аз не чух ясно.","Lo sentimos, no oí claramente.","Ho sentim, no vaig sentir clarament.","Niestety, nie słyszałem wyraźnie.","Xin lỗi, tôi không nghe rõ.","Žao mi je, nisam jasno čuti.",申し訳ありませんが、私ははっきりと聞こえませんでした。,"Omlouvám se, jsem neslyšel jasně.","Undskyld, jeg hørte ikke klart.","Desculpe, eu não ouvi claramente.","На жаль, я не чув ясно.","Pardonu, mi ne aŭdis klare.",با عرض پوزش، من به وضوح نمی شنوند.,"Vabandust, ma ei kuulnud selgelt.","Жао ми је, нисам чуо јасно.","Anteeksi, en kuullut selvästi.","Beklager, jeg fikk ikke høre tydelig.","Maaf, aku tidak mendengar dengan jelas.","Sentímolo, eu non oín claramente.","미안 해요, 난 분명히 듣지 않았다.","სამწუხაროდ, მე არ ისმის ნათლად.",Sajnos nem hallottam tisztán.,"Συγνώμη, δεν άκουσα καθαρά.","Scuze, nu am auzit în mod clar.","क्षमा करें, मैं स्पष्ट रूप से नहीं सुना।","Üzgünüm, açıkça duymadım.","Maaf, saya tidak mendengar dengan jelas.","Ospravedlňujem sa, som nepočul jasne.","Nos paenitet, ut scilicet non audiat.","Atvainojiet, man nav skaidri dzirdēt.","Atsiprašome, aš ne išgirsti aiškiai.","За жал, јас не слушам јасно.","Žal mi je, nisem dobro slišal.",معذرت، میں نے صاف صاف سنائی نہیں دیا.,ขอโทษนะฉันไม่ได้ยินเสียงอย่างชัดเจน,"மன்னிக்கவும், நான் தெளிவாக கேட்கவில்லை.","Mae'n ddrwg gennym, ni chlywais yn glir.","Jammer, ek het nie duidelik hoor.","Na vjen keq, unë nuk e dëgjoj në mënyrë të qartë.","দুঃখিত, আমি পরিষ্কারভাবে শুনতে পাইনি।","Paumanhin, hindi ko narinig nang malinaw.","క్షమించాలి, నేను స్పష్టంగా వినలేదు.","Padon, mwen pa t 'tande byen klè.","Samahani, sikusikia kwa uwazi.","Tá brón orainn, ní raibh mé ag éisteacht go soiléir.","Því miður, ég heyrði ekki greinilega.","માફ કરશો, હું સ્પષ્ટ સાંભળી ન હતી.","ಕ್ಷಮಿಸಿ, ನಾನು ಸ್ಪಷ್ಟವಾಗಿ ಕೇಳಿಸಲಿಲ್ಲ.","אנטשולדיגט, איך האט ניט הערן קלאר."
That means friend.,Det innebär vän.,وهذا يعني صديق.,Das heißt Freund.,Deməkdir ki dost.,Cet ami de moyens.,bitartez laguna.,Dat betekent vriend.,Это значит друг.,Гэта значыць сябар.,Ciò significa amico.,Това означава приятел.,Ese amigo medios.,Aquest amic mitjans.,Że przyjaciel środki.,Điều đó có nghĩa bạn.,To znači prijatelj.,その手段の友人。,To znamená přítel.,Det betyder ven.,Isso significa amigo.,Це означає одне.,Tio signifas amikon.,این بدان معناست که دوست.,See tähendab sõber.,То значи пријатељ.,Tämä tarkoittaa ystävä.,Det betyr venn.,Itu berarti teman.,Isto significa amigo.,그 말 친구.,ეს იმას ნიშნავს მეგობარი.,Ez azt jelenti barátja.,Σημαίνει ότι ο φίλος.,Asta înseamnă prieten.,इसका मतलब है कि दोस्त।,Bunun anlamı arkadaş.,Bahawa rakan cara.,To znamená priateľ.,Id est.,Tas nozīmē draugs.,Tai reiškia draugas.,Тоа значи пријател.,To pomeni prijatelj.,اس کا مطلب ہے دوست.,นั่นหมายถึงเพื่อน,அதாவது நண்பர்.,Mae hynny'n golygu ffrind.,Dit beteken vriend.,Kjo do të thotë mik.,তার মানে বন্ধু।,Ang ibig sabihin nito kaibigan.,అంటే స్నేహితుడు.,Sa vle di zanmi.,Hiyo ina maana ya rafiki.,Go cara acmhainne.,Það þýðir vinur.,અર્થ એ થાય કે મિત્ર છે.,ಅಂದರೆ ಸ್ನೇಹಿತ.,אַז מיטל פרייַנד.
That's wrong.,Det är fel.,ذلك خطأ.,Das ist falsch.,Bu səhv var.,C'est faux.,Hori da oker.,Dat is verkeerd.,Это неверно.,Гэта няправільна.,È sbagliato.,Това е грешно.,Eso está mal.,Això està malament.,To jest źle.,Sai rồi.,To je pogrešno.,それは間違っている。,To je špatně.,Det er forkert.,Isto é errado.,Це неправильно.,Jen erara.,آن غلط هست.,See on vale.,То није у реду.,Se on väärin.,Det er galt.,Itu salah.,Isto é incorrecto.,그건 틀렸어요.,Ეს არასწორია.,Ez hibás.,Αυτό είναι λάθος.,Este gresit.,यह गलत है।,Bu yanlış.,Itu salah.,To je zle.,Quod suus 'iniuriam.,Tas ir nepareizi.,Tai neteisinga.,Тоа е во ред.,To je narobe.,یہ غلط ہے.,ว่ามีอะไรผิดปกติ,அது தவறு.,Mae hynny'n anghywir.,Dit is verkeerd.,Është gabim.,ওইটা ভুল.,Mali iyan.,అది తప్పు.,Sa a sa ki mal.,Hiyo ni sahihi.,Sin mícheart.,Það er rangt.,તે ખોટું છે.,ಅದು ತಪ್ಪು.,אַז ס אומרעכט.
Try to say it.,Försök att säga det.,حاول أن يقول ذلك.,Versuchen Sie es zu sagen.,demək üçün cəhd edin.,Essayez de le dire.,Saiatu esateko.,Probeer om het te zeggen.,Попробуйте сказать это.,Паспрабуйце сказаць гэта.,Provate a dirlo.,Опитайте се да го кажа.,Trata de decirlo.,Tracta de dir-ho.,Spróbuj to powiedzieć.,Cố gắng nói điều đó.,Pokušajte to reći.,それを言うようにしてください。,Zkuste to říct.,Prøv at sige det.,Tente dizer isso.,Спробуйте сказати це.,Provu diri ĝin.,سعی کنید به آن می گویند.,Proovige seda öelda.,Покушајте да то кажем.,Yritä sanoa se.,Prøv å si det.,Cobalah untuk mengatakan itu.,Probe dicir iso.,그 말을보십시오.,სცადეთ რომ ვთქვათ.,Próbálja meg kimondani.,Προσπαθήστε να το πω.,Încearcă să-l spun.,यह कहना की कोशिश करें।,Söylemeyi dene.,Cuba untuk mengatakan ia.,Skúste to povedať.,Try ut dicam.,Mēģiniet pateikt to.,Pabandykite pasakyti.,Обидете се да се каже тоа.,Poskusite reči.,یہ کہنے کی کوشش کریں.,พยายามที่จะบอกว่ามัน,அது சொல்ல முயற்சி.,Ceisiwch ddweud.,Probeer om dit te sê.,Mundohuni për të thënë atë.,এটা বলতে চেষ্টা করুন।,Subukan sabihin ito.,చెప్పటానికి ప్రయత్నించాలి.,Eseye di li.,Jaribu kulisema.,Bain triail as a rá é.,Reyndu að segja það.,તે કહે છે કરવાનો પ્રયાસ કરો.,ಇದನ್ನು ಹೇಳಲು ಪ್ರಯತ್ನಿಸಿ.,פּרובירן צו זאָגן עס.
What does this mean?,Vad betyder det här?,ماذا يعني هذا؟,Was bedeutet das?,Bu nə deməkdir?,Qu'est-ce que ça veut dire?,Zer esan nahi du horrek?,Wat betekent dit?,Что это значит?,Што гэта значыць?,Cosa significa questo?,Какво означава това?,¿Qué significa esto?,Què vol dir això?,Co to znaczy?,Điều đó có nghĩa là gì?,Što to znači?,これは何を意味するのでしょうか？,Co to znamená?,Hvad betyder det?,O que isto significa?,Що це означає?,Kion tio signifu?,این یعنی چی؟,Mida see tähendab?,Шта ово значи?,Mitä tämä tarkoittaa?,Hva betyr dette?,Apa artinya ini?,O que significa isto?,이것은 무엇을 의미 하는가?,Რას ნიშნავს ეს?,Mit is jelent ez?,Τι σημαίνει αυτό?,Ce inseamna asta?,इसका क्या मतलब है?,Ne anlama geliyor?,Apakah maksud ini?,Čo to znamená?,"Quid est hoc, Pythi?",Ko tas nozīmē?,Ką tai reiškia?,Што значи тоа?,Kaj to pomeni?,اس کا کیا مطلب ہے؟,สิ่งนี้หมายความว่า?,இந்த என்ன அர்த்தம்?,Beth mae hyn yn ei olygu?,Wat beteken dit?,Çfarë do të thotë kjo?,এটার মানে কি?,Ano ang ibig sabihin nito?,దీని అర్థం ఏమిటి?,Ki sa sa a vle di?,Hii ina maana gani?,Cad a chiallaíonn sé seo?,Hvað þýðir þetta?,આનો મતલબ શું થયો?,ಇದರ ಅರ್ಥ ಏನು?,וואס מיינט עס?
What does this say?,Vad säger detta?,ماذا يعني هذا القول؟,Was bedeutet das?,Bu nə deyir?,Qu'est-ce que ça veut dire?,Zer esan?,Wat staat hier?,Что это говорит?,Што гэта кажа?,Cosa significa questo?,Какво означава това?,¿Qué dice esto?,Què diu això?,Co to znaczy?,điều này không nói gì?,Što to govori?,これは何て言います？,Co to říká?,Hvad siger det?,O que isso diz?,Що це говорить?,Kion tio diras?,این چی میگه؟,Mida see ütleb?,Шта то говори?,Mitä tämä sanoo?,Hva står det her?,Apa yang dikatakan?,O que isto di?,무슨 말을하는 거니?,რას გვეუბნება ეს?,Mit mond ez?,Τι λέει αυτό?,Ce spune asta?,यह क्या कहता है?,Bu ne diyor?,Apakah ini mengatakan?,Čo to hovorí?,Quid hic dicere?,Ko tas saka?,Ką tai sako?,Што ни кажува тоа?,Kaj se to pravi?,یہ کیا کہتا ہے؟,นี้ไม่พูดอะไร?,இந்த என்ன சொல்கிறது?,Beth mae hyn yn ei ddweud?,Wat sê dit?,Çfarë do të thotë kjo?,এই কি বলে?,Anong sinasabi nito?,ఈ ఏమి చెప్తుంది?,Ki sa sa di nou fè?,"Je, hii kusema?",Cad a dhéanann an rá?,Hvað þýðir þetta að segja?,આ શું કહે છે?,ಈ ಏನು ಹೇಳುತ್ತದೆ?,וואָס טוט דעם זאָגן?
What does this word mean?,Vad betyder det här ordet?,ماذا تعني هذه الكلمة؟,Was bedeutet dieses Wort?,Bu söz nə deməkdir?,Que signifie ce mot?,Zer esan nahi du hitz honek?,Wat betekent dit woord?,Что значит это слово?,Што азначае гэтае слова?,Cosa significa questa parola?,Какво означава тази дума?,¿Qué significa esta palabra?,Què significa aquesta paraula?,Co oznacza to słowo?,Từ này có nghĩa là gì?,Što ova riječ znači?,この言葉の意味は何ですか？,Co to slovo znamená?,Hvad betyder dette ord?,O que essa palavra significa?,Що це означає слово?,Kion ĉi tiu vorto signifas?,این کلمه به چه معناست؟,Mida see sõna tähendab?,Шта значи ова реч?,Mitä tämä sana tarkoittaa?,Hva betyr dette ordet?,Apa arti kata ini?,Que significa esta palabra?,이 말은 무엇을 의미 하는가?,რას ნიშნავს ეს სიტყვა ნიშნავს?,Mit jelent ez a szó?,Τι σημαίνει αυτή η λέξη?,Ce înseamna cuvantul asta?,इस शब्द का क्या मतलब है?,Bu kelimenin anlamı nedir?,Apakah perkataan ini bermakna?,Čo to slovo znamená?,Quod significat illa?,Ko tas vārds nozīmē?,Ką šis žodis reiškia?,Што значи овој збор значи?,Kaj pomeni ta beseda?,اس لفظ کا کیا مطلب ہے؟,คำนี้หมายถึงอะไร?,இந்த வார்த்தை என்ன அர்த்தம்?,Beth mae y gair hwn yn ei olygu?,Wat beteken hierdie woord?,Çfarë do të thotë kjo fjalë?,এই শব্দের মানে কি?,Ano ang kahulugan ng salitang ito?,ఈ పదం అర్థం ఏమిటి?,Ki sa ki mo sa a vle di?,Je neno hili maana gani?,Cad is brí leis an bhfocal?,Hvað þýðir þetta orð?,આ શબ્દ નો મતલબ શું થાય?,ಈ ಪದದ ಅರ್ಥ ಏನು?,וואָס טוט דעם וואָרט מיינען?
What's the exchange rate?,Vad är växelkursen?,ما هو سعر الصرف؟,Was ist der Wechselkurs?,məzənnə nədir?,Quel est le taux de change?,Zer da truke-tasa?,Wat is de wisselkoers?,Что обменный курс?,Што абменны курс?,Qual è il tasso di cambio?,Какъв е обменният курс?,¿Cuál es la tasa de cambio?,Quina és la taxa de canvi?,Jaki jest kurs?,tỷ giá hối đoái là gì?,Što je tečaj?,為替レートは何ですか？,Jaký je kurz?,Hvad er kursen?,Qual é a taxa de câmbio?,Що обмінний курс?,Kio estas la kurzo?,نرخ ارز چه خبر؟,Mis on vahetuskursi?,Шта је курс?,Mikä on vaihtokurssi?,Hva er kursen?,Apa nilai tukar?,Cal é a taxa de cambio?,환율은 무엇입니까?,რა არის გაცვლითი კურსი?,Mi az árfolyam?,Ποια είναι η ισοτιμία;,Care este rata de schimb?,विनिमय दर क्या है?,döviz kuru nedir?,Berapa kadar pertukaran?,Aký je kurz?,Quid est commutatio rate?,Kas ir maiņas kurss?,Koks kursas?,Што е девизен курс?,Kaj je tečaj?,زر مبادلہ کی شرح کیا ہے؟,อะไรอัตราแลกเปลี่ยนหรือไม่,மாற்று விகிதம் என்ன?,Beth yw'r gyfradd gyfnewid?,Wat is die wisselkoers?,Çfarë është kursi i këmbimit?,বিনিময় হার কি?,Ano ang exchange rate?,మార్పిడి రేటు ఏమిటి?,Ki sa ki nan echanj pousantaj lajan an?,Nini cha ubadilishaji?,Cad é an ráta malairte?,Hvað er gengi?,વિનિમય દર શું છે?,ಏನು ವಿನಿಮಯ ದರ ಇಲ್ಲಿದೆ?,וואָס ס דער וועקסל קורס?
Whose book is that?,Vems bok är det?,لمن هذا الكتاب؟,Wessen Buch ist das?,"ki, kimin kitab?",À qui est ce livre?,Noren liburu da hori?,Wiens boek is dat?,Чья это книга?,"Чыё гэта кніга, што?",Di chi è quel libro?,Чия книга е това?,¿De quien es ese libro?,Que el seu llibre és aquest?,Czyja to książka?,Mà cuốn sách là điều đó không?,Čija je knjiga je to?,それは誰の本ですか？,"Jehož kniha je, že?",Hvis bog er det?,De quem é esse livro?,"Чиє це книга, що?",Kies libro estas tio?,که کتاب این است که؟,Kelle raamat on?,Чија је то књига?,Kenen kirja tuo on?,Hvis bok er det?,Buku siapa itu?,Cuxo libro é este?,그 누구의 책입니까?,"ვისი წიგნი, რომ?",Kié az a könyv?,Του οποίου το βιβλίο είναι αυτό;,A cui este cartea aceea?,वह किसकी पुस्तक है?,Bu kitap kimin?,Yang buku itu?,"Ktorého kniha je, že?",Qui est liber?,"Kuru grāmatu ir tas, ka?","Kieno knyga yra tai, kad?",Чија книга е тоа?,Čigava knjiga je to?,کہ کس کی کتاب ہے؟,หนังสือที่ว่าคืออะไร?,என்று யாருடைய புத்தகம்?,llyfr pwy yw hynny?,Wie se boek is dit?,libri i të cilit është kjo?,ওটা কার বই?,Kaninong libro iyan?,దీని పుస్తకం?,Ki moun liv se sa?,kitabu ambaye huyo?,Cé leis an leabhar sin?,Hvers bók er það?,કે જેની પુસ્તક છે?,ಅವರ ಪುಸ್ತಕ?,וועמענס בוך איז אַז?
Why aren't you going?,Varför är du inte kommer?,لماذا لا تذهب؟,Warum nicht gehen Sie?,Niyə getmir?,Pourquoi ne vas-tu?,Zergatik ez zoaz?,Waarom gaat u niet?,Почему вы не собираетесь?,Чаму вы не збіраецеся?,Perché non state andando?,Защо не отиваш?,¿Por qué no vas?,Per què no vas?,Dlaczego nie idziesz?,Tại sao bạn không đi đâu?,Zašto ne ideš?,なぜあなたは進んでいませんか？,Proč nejdeš?,Hvorfor vil du ikke?,Por que você não vai?,Чому ви не збираєтеся?,Kial vi ne iras?,چرا شما نمی خواهید؟,Miks sa ei lähe?,Зашто не идеш?,Miksi et menossa?,Hvorfor er du ikke kommer?,Mengapa Anda tidak akan?,Por que non vai?,왜 당신은 갈 수 없습니다?,რატომ არ მიდიხარ?,Miért nem mész?,Γιατί δεν πας;,De ce nu te duci?,तुम क्यों नहीं जा रहा है?,Neden gitmiyorsun?,Mengapa tidak anda!,Prečo nejdeš?,Quare non vadis?,Kāpēc tu ej?,Kodėl ne jūs einate?,Зошто не ви се случува?,Zakaj ne greš?,تم کیوں نہیں جا رہے ہیں؟,ทำไมคุณไม่ไป?,ஏன் கலந்துகொள்ளவில்லை என்பதை?,Pam nad ydych chi'n mynd?,Hoekom gaan jy nie?,Pse nuk po shkon?,কেন যাবে না?,Bakit hindi ka dumalo?,ఎందుకు మీరు వెళ్ళడం లేదు?,Poukisa yo pa ou prale?,Mbona si unaenda?,Cén fáth nach bhfuil tú ag dul?,Af hverju ertu ekki að fara?,તમે શા માટે નથી જતા હોય છે?,ಏಕೆ ನೀವು ಹೋಗುತ್ತಿಲ್ಲವೆಂದು?,וואָס זענען נישט איר געגאנגען?
Why are you laughing?,Varför skrattar du?,لماذا تضحك؟,Wieso lachst du?,Sen niye gulursen?,Pourquoi ris-tu?,Zergatik ari zara barrezka?,Waarom ben je aan het lachen?,Почему ты смеешься?,Чаму ты смяешся?,Perché stai ridendo?,Защо се смееш?,¿Por qué te ríes?,Per què rius?,Dlaczego się śmiejesz?,Tại sao các bạn lại cười?,Zašto se smiješ?,なぜ笑っている？,Proč se směješ?,Hvorfor griner du?,Por que você está rindo?,Чому ти смієшся?,Kial vi ridas?,چرا میخندی؟,Miks sa naerad?,Зашто се смејеш?,Miksi naurat?,Hvorfor ler du?,Mengapa kamu tertawa?,Por que ris?,왜 웃는거야?,Რატომ იცინი?,Miért nevetsz?,Γιατί γελάς?,De ce râzi?,तुम हंस क्यों रहे हो?,Neden gülüyorsun?,Mengapa engkau ketawa?,Prečo sa smeješ?,Cur rides?,Kāpēc tu smejies?,Kodėl tu juokiesi?,Зошто се смееш?,Zakaj se smejiš?,تم کیوں ہنس رہے ہو؟,คุณหัวเราะทำไม?,ஏன் சிரிக்கிறாய்?,Pam wyt ti'n chwerthin?,Hoekom lag jy?,Pse po qesh?,আপনি কিরে হাসছিস কেন?,Bakit ka tumatawa?,నువ్వు ఎందుకు నవ్వుతున్నావ్?,Poukisa w'ap ri?,Kwanini unacheka?,Cén fath a bhfuil tú ag gaire?,Af hverju hlærðu?,આપ કેમ હસી રહ્યા છો?,ನೀನೇಕೆ ನಗುತ್ತಿರುವೆ?,וואָס זענען איר Laughing?
Why did you do that?,Varför gjorde du det?,لماذا فعلت ذلك؟,Warum hast du das getan?,Niyə bunu etdiniz?,Pourquoi fais-tu ça?,Zergatik hori?,Waarom deed je dat?,Почему ты это сделал?,Чаму ты гэта зрабіў?,Perchè lo hai fatto?,Защо го направи?,¿Por qué hiciste eso?,Per què vas fer això?,Dlaczego to zrobiłeś?,Tại sao bạn làm vậy?,Zašto si to učinio?,どうしてそんなことをしました？,Proč jsi to udělal?,Hvorfor gjorde du det?,Porque você fez isso?,Чому ти це зробив?,Kial vi faris tion?,چرا این کار را کردی؟,Miks sa seda tegid?,Зашто си то урадио?,Miksi teit sen?,Hvorfor gjorde du det?,Kenapa kau melakukan itu?,Por que fixo iso?,왜 그런 짓을 한거야?,რატომ ფიქრობთ ასე?,Miért tetted ezt?,Γιατί το έκανες αυτό?,De ce ai facut asta?,आपने ऐसा क्यों किया?,Neden bunu yaptın?,Mengapa engkau berbuat demikian?,Prečo si to urobil?,Quare hoc fecisti?,Kāpēc tu to darīji?,Kodėl tai padarei?,Зошто го направи тоа?,Zakaj si to naredil?,تم نے ایسا کیوں کیا؟,ทำไมคุณทำอย่างนั้น?,ஏன் அப்படி செய்தாய்?,Pam wnaethoch chi wneud hynny?,Hoekom het jy dit doen?,Pse e keni bërë këtë?,তুমি এটা কেন করছিলে?,Bakit mo ginawa iyon?,అలా ఎందుకు చేసావ్?,Poukisa ou fè sa?,Kwa nini kufanya hivyo?,Cén fáth a ndearna tú é sin?,Afhverju gerðir þú þetta?,શા માટે તમે તે શું કર્યું?,ನೀನು ಅದನ್ನು ಏಕೆ ಮಾಡಿದೆ?,וואָס האט איר טאָן אַז?
Can I have a glass of water please?,Kan jag få ett glas vatten tack?,هل يمكنني الحصول على كوب من الماء من فضلك؟,Kann ich bitte ein Glas Wasser haben?,Mən su şüşə edin bilər?,Puis-je avoir un verre d'eau s'il vous plaît?,Ezin dut ur edalontzi bat mesedez?,Mag ik een glas water alstublieft?,"Могу ли я выпить стакан воды, пожалуйста?","Ці магу я выпіць шклянку вады, калі ласка?",Posso avere un bicchiere d'acqua per favore?,"Мога ли да имам чаша вода, моля?",¿Puedo tener un vaso de agua por favor?,Puc tenir un got d'aigua si us plau?,"Mogę prosić o szklankę wody, proszę?",Tôi có thể có một ly nước được không?,Mogu li dobiti čašu vode molim te?,私は水のガラスをしてくださいことはできますか？,"Mohu mít sklenici vody, prosím?",Kan jeg have et glas vand tak?,"Posso ter um copo de água, por favor?","Чи можу я випити склянку води, будь ласка?",Ĉu mi povas havi iom da akvo mi petas?,آیا من می توانم یک لیوان آب لطفا؟,Kas mul võib olla klaasi veega palun?,Могу ли добити чашу воде молим вас?,Saanko lasin vettä kiitos?,Kan jeg få et glass vann please?,Dapatkah saya memiliki segelas air please?,"Podo ter un vaso de auga, por favor?",나는 물 한 잔 주 시겠어요?,შემიძლია ჭიქა წყალი გთხოვთ?,"Kaphatok egy pohár vizet, kérem?","Μπορώ να έχω ένα ποτήρι νερό, παρακαλώ;",Pot avea un pahar cu apă te rog?,मैं कृपया एक गिलास पानी मिल सकता है?,Ben bir bardak su alabilir miyim lütfen?,Bolehkah saya mempunyai segelas air sila?,"Môžem dostať pohár vody, prosím?",Potest enim aquae speculo Ego amabo?,"Vai man glāzi ūdens, lūdzu?","Ar galiu turėti stiklinę vandens, prašome?","Може ли да има една чаша вода, ве молам?","Lahko dobim kozarec vode, prosim?",مجھے ایک گلاس پانی براہ مہربانی سکتا ہے؟,ฉันสามารถมีแก้วน้ำโปรด?,நான் தண்ணீர் ஒரு கண்ணாடி ப்ளீஸ்?,A allaf i gael gwydraid o ddwr os gwelwch yn dda?,Kan ek 'n glas water asseblief?,A mund të ketë një gotë ujë ju lutem?,আমি দয়া এক গ্লাস পানি থাকতে পারে?,Maaari ba akong magkaroon ng isang baso ng tubig please?,నేను దయచేసి నీటి గాజు ఉంటుందా?,Èske mwen ka gen yon vè dlo tanpri?,"Je, ninaweza kuwa glasi ya maji tafadhali?",An féidir liomsa gloine uisce le do thoil?,Get ég fengið vatnsglas vinsamlegast?,હું વિનંતી એક ગ્લાસ પાણીમાં કરી શકે છે?,ನಾನು ನೀರಿನ ಗಾಜಿನ ಹೊಂದಬಹುದು ದಯವಿಟ್ಟು?,קענען איך האָבן אַ גלאז פון וואַסער ביטע?
Can I use your phone?,Kan jag använda din telefon?,هل يمكنني استخدام هاتفك؟,Kann ich Ihr Telefon benutzen?,Mən sizin telefon istifadə edə bilərəmmi?,Puis-je utiliser votre téléphone?,Zure telefonoa erabili ahal dut?,Mag ik uw telefoon gebruiken?,Могу ли я использовать свой телефон?,Ці магу я выкарыстаць свой тэлефон?,Posso usare il tuo telefono?,Мога ли да използвам телефона си?,¿Puedo usar tu teléfono?,Puc usar el seu telèfon?,Czy mogę skorzystać z Twojego telefonu?,Tôi có thể dùng điện thoại của bạn được không?,Mogu li koristiti svoj telefon?,私は、お使いの携帯電話を使うことはできますか？,Můžu použít tvůj telefon?,Kan jeg bruge telefonen?,Posso usar seu telefone?,Чи можу я використовувати свій телефон?,Ĉu mi povas uzi vian telefonon?,می توانم از تلفن شما استفاده کنم؟,Kas ma saan kasutada oma telefoni?,Могу ли да користим телефон?,Voinko käyttää puhelintasi?,Kan jeg bruke telefonen?,Dapatkah saya menggunakan ponsel Anda?,Podo usar o seu teléfono?,나는 휴대 전화를 사용할 수 있습니까?,შემიძლია თქვენი ტელეფონი?,Használhatom a telefonodat?,Μπορώ να χρησιμοποιήσω το τηλέφωνό σου?,Pot folosi telefonul tau?,क्या मैं आपका फोन इस्तेमाल कर सकता हूँ?,Telefonunu kullanabilir miyim?,Bolehkah saya menggunakan telefon anda?,Môžem používať svoj telefón?,EGO can utor vestri phone?,Vai es varu izmantot savu tālruni?,Ar galiu naudoti savo telefoną?,Може ли да го користите вашиот телефон?,Lahko uporabim vaš telefon?,میں نے اپنا فون استعمال کر سکتے ہیں؟,ฉันสามารถใช้โทรศัพท์ของคุณ?,நான் உங்கள் தொலைபேசி பயன்படுத்த முடியுமா?,Alla i ddefnyddio eich ffôn?,Kan ek jou selfoon te gebruik?,Mund ta përdorni telefonin tuaj?,আমি কি তোমার ফোন ব্যবহার করতে পারি?,Maaari ko bang gamitin ang iyong telepono?,నేను మీ ఫోన్ ఉపయోగించవచ్చా?,Èske mwen ka itilize telefòn ou?,Naweza kutumia simu yako?,An féidir liom a úsáid do ghuthán?,Get ég notað símann?,હું તમારા ફોનનો ઉપયોગ કરી શકો છો?,ನಾನು ನಿಮ್ಮ ಫೋನ್ ಬಳಸಬಹುದು?,קענען איך נוצן דיין טעלעפאָנירן?
Do you have any vacancies?,Har ni några lediga platser?,هل لديك أي شواغر؟,Haben Sie freie Stellen?,Əgər hər hansı bir vakansiyalar var?,Avez-vous des postes vacants?,Ez edozein lanpostu huts egin behar duzu?,Heeft u nog plaats?,У вас есть вакансии?,Ці ёсць у вас вакансіі?,Avete dei posti liberi?,Имате ли свободни места?,tiene usted algunas vacantes?,Té alguna vacant?,Czy mają Państwo wolne pokoje?,Bạn có bất cứ chỗ trống?,Imate li praznih soba?,空きはありますか？,Máte volné pokoje?,Har du nogen ledige stillinger?,Você tem alguma vaga?,Чи є у вас вакансії?,Ĉu vi havas libera?,جای خالی دارید؟,Kas teil on vabu kohti?,Да ли имате нека слободна места?,Onko teillä vapaita paikkoja?,Har du noen ledige stillinger?,Apakah Anda memiliki lowongan?,Ten prazas?,당신은 어떤 공석이 있습니까?,თუ თქვენ გაქვთ რაიმე ვაკანსიები?,Van üres szobájuk?,Έχετε κάποιες κενές θέσεις;,Aveți posturi vacante?,क्या आपके यहां पद खाली हैं?,Boş yeriniz var mı?,Adakah anda mempunyai apa-apa kekosongan?,Máte nejaké voľné miesta?,Ti habes?,Vai jums ir kādas vakances?,Ar turite kokių nors laisvas darbo vietas?,Дали имате било какви работни места?,Ali imate kakšne prosta delovna mesta?,آپ کو کسی بھی جگہ خالی ہے ہو؟,คุณมีตำแหน่งงานว่างใด ๆ,நீங்கள் எந்த காலியிடங்களின் இருக்கிறதா?,A oes gennych unrhyw swyddi gwag?,Het jy enige vakatures?,A keni ndonjë vende të lira?,যদি আপনি কোন খালি আছে?,Mayroon ba kayong anumang mga bakante?,మీరు ఏ ఖాళీల ఉందా?,w gen nenpòt pòs ki vid?,"Je, una nafasi za kazi yoyote?",An bhfuil aon fholúntais?,Ert þú hefur einhverjar lausar stöður?,જો તમે કોઇ ખાલી જગ્યાઓ છે?,ನೀವು ಯಾವುದೇ ಹುದ್ದೆಯ ಹೊಂದಿದ್ದೀರಾ?,צי איר האָבן קיין וואַקאַנסיעס?
